@relation user_cluster

@attribute UID numeric
@attribute DIFF numeric

@data
574713058,164.340028935
693865149,1269.29791088
593597381,1363.07181713
1370314548,1345.23342923
1748870608,776.750216049
802488694,317.042071759
100001113330601,2009.03398148
500544306,1.25883101847
691395030,-925.525162037
1069083104,1151.60906829
544306974,386.16681713
560477361,910.838537037
1365510136,2211.09836806
1365510135,422.358553241
602970448,143.64337963
1782990293,-887.271851852
902575242,1993.92408565
592484427,1911.30076852
1205111472,2101.62341435
590685952,2279.01138503
1331791027,746.826435185
100002600253669,1079.14284301
1341660510,646.711454475
1798763088,617.0409375
535725484,-258.222372685
1359450103,1031.38523727
1274427378,823.121160301
100002253323619,1754.77207176
1173553458,69.158125
1215405816,-102.862407407
1386613327,106.773506944
816705429,-165.288726852
1408353727,299.283159722
1510335310,1781.90609954
1331910162,738.085115741
1617570299,477.754681713
1331380757,627.115360901
1207722372,2217.12125
530590417,1255.09481713
1234710571,21.7391493056
1083553522,566.510915316
791974424,-706.314172454
1625332885,250.101883681
659293382,57.7825462963
1227212244,2008.3639429
508526303,2661.65185185
700847130,1260.72376929
710035594,196.26037037
605866689,2529.07300926
1088130286,-132.253252315
532175147,1927.42078704
1459165410,1668.24955633
100001215960652,989.387824074
1358310547,1.1295949074
597817291,-124.973703704
1607305490,-262.058715278
1618037624,613.419143519
1235941771,1686.28938657
590780438,155.814097222
100000579920181,1124.51986806
553126285,1159.18021412
1804757083,-179.767847222
1090330948,2126.14261574
1326121493,-97.2198032407
559467850,601.626527778
1456743559,542.877453704
1260750116,728.612719907
607350276,732.427185847
884405509,395.147545573
584617286,-663.509259259
1297442136,2469.00631944
704467448,-742.947013889
1334371234,2171.9975463
100001877646751,1365.26990741
585920595,-1019.97612269
1070670672,1666.36398148
1373700158,655.311790123
634051216,226.330873843
555806592,1271.83000772
1484592068,901.621568287
1112606449,375.452070106
100000046526113,-372.939386574
100001193338158,9.8783912037
796785558,104.301898148
1104219401,17.1341666667
4800349,22.6360763889
1008783506,396.143657407
1371300433,2430.4086034
1367220489,299.776388889
1380270138,-0.51037037035
100000856501492,1736.946875
766065571,2985.93059028
1313270895,-531.944184028
1087324794,302.121886574
100001211686807,1699.02347454
1280892096,2265.1603588
664255324,188.893240741
680071248,1.02986689814
100000092202252,806.330167824
1053159464,988.255327932
606110943,881.758761574
1341660478,44.0569444444
672256013,274.050642361
1712541233,84.6070138889
100001572822450,980.719251543
100001395132305,125.583123714
100000140123699,440.665759259
697950252,2258.08323495
1038484414,727.162145062
100000980360076,1.98944444442
547471230,127.274409722
100001795684467,1117.72493056
630727619,-16.7806018519
652893556,-948.748668981
1320770707,-196.928773148
656158461,520.970755208
625685988,17.1069328703
1330506182,647.529039352
1432465233,-1060.86181713
1055040440,-89.0442245371
588324166,306.275959201
593158371,1018.05055556
2345048,1678.44412616
565111208,43.3656510416
508426724,788.047067901
1062840041,1581.99524016
1300485862,2062.97803241
715120645,38.5318518518
599456557,10.9026388889
789775513,1821.95114198
540645476,527.600565349
1199780406,1995.21344907
100001589864474,-358.018506944
749135102,1775.1916956
1129145010,1265.8926331
1806464233,2209.17861111
1096890928,2264.9866088
1602371857,276.953152778
774415296,1138.57165654
642473638,45.2926736111
824535522,2379.84509838
776205499,339.530445602
1121340065,1420.26707948
100000549172542,502.513796296
1017292306,142.040574846
579842300,2478.13702546
1370220213,-117.911290509
100001518343058,2089.22047454
1084290137,171.684305556
1348011324,429.723368056
1492909435,894.246917438
1479480808,27.7019328703
1249991111,120.68671875
100002123484575,1058.03264468
1003731209,647.612118056
542632425,979.628101852
1616504993,368.395277778
811489781,1093.44513889
1261695300,1458.74912905
100001253029261,436.420978009
1124681173,2006.97496914
501967142,2006.68590278
1192096174,712.495061728
1595856648,1887.55232639
100001912332784,2963.62570602
565101095,527.161714892
1365510092,-387.405416667
1380300478,-744.032222222
1102585480,-342.988553241
562084310,2289.16660218
1363350475,1471.68809028
1310445495,-198.579231481
502081620,1084.568125
100002450880833,39.8945601851
100000217092051,2342.45813657
100000994200688,-283.25912037
1294106814,1590.09929398
1088486719,1843.05888426
1412523322,1999.11966435
564482782,1391.4276915
1252557306,1832.16358218
1639669381,-314.049971065
1044248046,2489.02694444
1573898156,2346.58364583
1013793200,1943.39755577
720115968,-591.812789352
100002017879829,-80.3667399692
1228740243,628.801539352
615961355,-3.28743055556
1228740247,557.456489198
1538520756,348.399765625
100000942176301,4.84367476852
1319383114,-702.805856481
100001023515121,3445.97511574
100000176717470,111.337736442
731942294,2113.92050926
1202772970,72.6241087963
1575848216,99.8358032407
100000628850548,1322.2433777
1387969660,-113.807216435
500955225,1682.35281395
685711457,380.8678125
766001971,-760.874259259
751860494,1605.22632479
1675071203,182.542181713
738023263,180.680046296
780489629,1295.91350309
719256837,-358.232523148
617546410,1713.07357639
1415411081,-549.846712963
641940707,785.049521605
669758135,1005.08190972
677609293,2224.92853009
1332730951,-530.072800926
731357175,1702.07124228
577849570,2323.62450231
593344809,1065.93299479
1420772113,2112.05516782
1124396232,-165.687631173
591113450,-53.8717592593
621119235,609.641423611
726947838,1423.07185185
728033674,2379.04625
1270924821,922.118969907
500809543,1471.24176312
1147928707,488.959791667
647206587,2037.07596065
1067433032,1170.46047068
790024755,-224.347323495
1344407419,361.897527006
1418921822,1991.80994213
554199734,-55.9405324074
1027475126,1483.13047454
666465547,116.222081404
678545260,864.30180787
1370516449,605.741466601
100001158027363,1146.1475463
714293317,-665.453356482
1266441764,884.048368056
596759318,688.503385417
1493073597,118.850694444
706111553,15.0589236111
740440466,279.175798611
1628421014,758.492578388
645995451,1603.81813657
1113312218,2148.09847222
1059426107,-328.150844907
713451096,435.216979167
663081477,542.274282407
695033942,-480.138668981
1362210310,-1247.08259259
1440529256,342.683391204
709886594,-54.1861111111
1378942911,1944.05355324
100000522186241,1090.98210648
533922615,1361.10330633
1365510345,1065.07579861
816784662,1022.38289352
1410900122,576.281342593
854314372,1127.93473049
1450983165,502.806527778
100000125127256,580.779702932
555805272,638.445020255
598406870,2214.08053241
1058745278,550.914890046
1479060245,180.872966821
685326745,465.833043981
1190880539,-307.157777778
1459620326,-870.892048611
1415462974,-342.189756944
1274701434,1198.3541358
711598447,1137.86009259
1321933553,1774.88870949
1358910892,254.705896991
1737060663,362.579398148
661705894,1117.26769387
522316901,1061.46364005
1044741591,254.015381944
100000013245879,-25.5566628087
502889335,2002.58575617
636205492,214.962731482
657761833,-272.111145833
1550230496,-4.83962962963
1342428733,25.0275231482
1634175939,612.690066551
1080377589,37.0529050926
1360809719,-305.75328125
777493679,2274.16191358
692121966,-267.894108796
1239195963,2564.85505787
1316331831,877.234016204
663271049,2143.46618827
681453851,2077.5632581
